Περιοχή,Δείγματα
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,Α
ΑΘΗΝΑ,Θ
ΑΘΗΝΑ,ΤΕΛΟΣ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ 
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Θ 
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Θ
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,Α
ΕΥΒΟΙΑ,ΤΕΛΟΣ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,Θ
ΚΑΛΑΜΑΤΑ,Α
ΚΑΛΑΜΑΤΑ,ΤΕΛΟΣ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Α
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,Θ
ΘΕΣΣΑΛΟΝΙΚΗ,ΤΕΛΟΣ
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Α
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,Θ
ΙΩΑΝΝΙΝΑ,ΤΕΛΟΣ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Α
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,Θ
ΗΛΕΙΑ,ΤΕΛΟΣ
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,Α
ΠΑΤΡΑ,Θ
ΠΑΤΡΑ,ΤΕΛΟΣ
ΚΡΗΤΗ,Θ
ΚΡΗΤΗ,Θ
ΚΡΗΤΗ,Θ
ΚΡΗΤΗ,Θ
ΚΡΗΤΗ,Α
ΚΡΗΤΗ,Θ
ΚΡΗΤΗ,Α
ΚΡΗΤΗ,Α
ΚΡΗΤΗ,Α
ΚΡΗΤΗ,ΤΕΛΟΣ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,Α
ΒΟΛΟΣ,Θ
ΒΟΛΟΣ,ΤΕΛΟΣ
ΑΓΡΙΝΙΟ,Θ
ΑΓΡΙΝΙΟ,Θ
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Θ
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Θ
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Α
ΑΓΡΙΝΙΟ,Θ
ΑΓΡΙΝΙΟ,ΤΕΛΟΣ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,Θ
ΑΡΤΑ,Α
ΑΡΤΑ,ΤΕΛΟΣ
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Θ
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,Α
ΜΕΣΣΗΝΙΑ,ΤΕΛΟΣ
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Α
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,Θ
ΝΑΥΠΛΙΟ,ΤΕΛΟΣ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Θ
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,Α
ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΤΕΛΟΣ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Α
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,Θ
ΚΕΡΚΥΡΑ,ΤΕΛΟΣ
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,Α
ΑΙΓΙΝΑ,Θ
ΑΙΓΙΝΑ,ΤΕΛΟΣ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Α
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,Θ
ΣΕΡΙΦΟΣ,ΤΕΛΟΣ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Θ
ΩΡΩΠΟΣ,Α
ΩΡΩΠΟΣ,Θ
ΩΡΟΠΟΣ,ΤΕΛΟΣ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,Θ
ΣΑΛΑΜΙΝΑ,Α
ΣΑΛΑΜΙΝΑ,ΤΕΛΟΣ
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Α
ΣΕΡΡΕΣ,Θ
ΣΕΡΡΕΣ,ΤΕΛΟΣ